"electricity final consumption by sector in Uganda",Value,Year,Units
"Industry Sector",1465,2000, TJ
"Industry Sector",1947,2001, TJ
"Industry Sector",2102,2002, TJ
"Industry Sector",2206,2003, TJ
"Industry Sector",2354,2004, TJ
"Industry Sector",2397,2005, TJ
"Industry Sector",2008,2006, TJ
"Industry Sector",2498,2007, TJ
"Industry Sector",2851,2008, TJ
"Industry Sector",3045,2009, TJ
"Industry Sector",3564,2010, TJ
"Industry Sector",4125,2011, TJ
"Industry Sector",4608,2012, TJ
"Industry Sector",5007,2013, TJ
"Industry Sector",5345,2014, TJ
"Industry Sector",5824,2015, TJ
"Industry Sector",6130,2016, TJ
"Industry Sector",6646,2017, TJ
"Industry Sector",7393,2018, TJ
"Industry Sector",8227,2019, TJ
"Industry Sector",8314,2020, TJ
"Industry Sector",9275,2021, TJ
"Industry Sector",10183,2022, TJ
"Commercial and Public Services",140,2000, TJ
"Commercial and Public Services",140,2001, TJ
"Commercial and Public Services",151,2002, TJ
"Commercial and Public Services",158,2003, TJ
"Commercial and Public Services",169,2004, TJ
"Commercial and Public Services",172,2005, TJ
"Commercial and Public Services",144,2006, TJ
"Commercial and Public Services",179,2007, TJ
"Commercial and Public Services",637,2008, TJ
"Commercial and Public Services",752,2009, TJ
"Commercial and Public Services",867,2010, TJ
"Commercial and Public Services",770,2011, TJ
"Commercial and Public Services",777,2012, TJ
"Commercial and Public Services",925,2013, TJ
"Commercial and Public Services",1029,2014, TJ
"Commercial and Public Services",1151,2015, TJ
"Commercial and Public Services",1213,2016, TJ
"Commercial and Public Services",1297,2017, TJ
"Commercial and Public Services",1381,2018, TJ
"Commercial and Public Services",1339,2019, TJ
"Commercial and Public Services",1297,2020, TJ
"Commercial and Public Services",1423,2021, TJ
"Commercial and Public Services",1632,2022, TJ
"Residential",910,2000, TJ
"Residential",907,2001, TJ
"Residential",979,2002, TJ
"Residential",1029,2003, TJ
"Residential",1094,2004, TJ
"Residential",1116,2005, TJ
"Residential",936,2006, TJ
"Residential",1162,2007, TJ
"Residential",1177,2008, TJ
"Residential",1310,2009, TJ
"Residential",1508,2010, TJ
"Residential",1429,2011, TJ
"Residential",1688,2012, TJ
"Residential",1713,2013, TJ
"Residential",1947,2014, TJ
"Residential",2192,2015, TJ
"Residential",2217,2016, TJ
"Residential",2302,2017, TJ
"Residential",2386,2018, TJ
"Residential",2512,2019, TJ
"Residential",2629,2020, TJ
"Residential",2805,2021, TJ
"Residential",3140,2022, TJ