"EA_code","t0_EA_code","interview__key","s2cq15","s2cq16","s2cq17","s2cq17_oth","s2cq18","s2cq20","s2cq20_oth","s2cq19a","s2cq19b","s2cq19c","s2cq19c_oth","s2cq21","s2cq22","s2cq25","s2cq25_oth"
"8a796de4a4744d1896966983749b62ce","4201070703","35-92-49-53",2,2,,,2,,,,,,,,,,
"8a25746d91fd4a71903d25321bf21f4b",,"32-79-51-40",2,2,,,2,,,,,,,,,,
"8cce422c32fb487db7f64fc57ab28ea3","1102030301","33-86-34-01",2,2,,,2,,,,,,,,,,
"8d6c882303774a69b457c672b327bb4b",,"13-27-67-54",3,2,,,2,,,,,,,,,1,
"8e0674510f124c79adff16fa72a15dbf","2211090903","59-49-37-12",1,2,,,1,1,,"100","1",2,,"15000",2,3,
"8e2224a0b6494414a93947f05e8d132e","4081010106","19-59-74-37",2,2,,,2,,,,,,,,,4,
"8f4c7489123f4036974cc7f574debbac","3231060609","60-97-61-88",2,2,,,2,,,,,,,,,4,
"8f4e78e6dc8746289651442eb40f7d6d","1221060618","43-33-76-18",2,2,,,2,,,,,,,,,4,
"8fc56ed20a424d2fac2361dd0f33e3ea","2151202008","04-35-73-80",2,2,,,1,1,,"100","1",2,,"15000",2,3,
"8fc986ddd794404797432dfcdde4cbd3","1103060602","85-17-19-95",,,,,,,,,,,,,,,
"8ef78b7b0f7147e0ac63d91538fa815c","3034040402","63-03-43-30",2,2,,,1,2,,,,,,"1000",2,,
"91a39a9bf8bb4ad68964d8dc19ba3253","1152050505","20-43-32-61",2,2,,,1,1,,"100","1",2,,"9000",1,,
"8f6eac2d77894b3f8ba983cdb145dfa6","1021050532","22-52-74-75",2,2,,,1,1,,"200","1",2,,"210000",1,,
"92bc05e40dff4e818160d4bc3bd31eee","3131040412","35-98-52-71",2,2,,,1,2,,,,,,"1000",2,,
"93f32e4649e8452181fa4f17e75cbf30","2041020205","22-63-38-40",3,2,,,1,2,,,,,,"2000",1,1,
"96087df97f6b4e1c8a0ec6aab97ffc23","3052020202","18-33-14-59",2,2,,,1,2,,,,,,"2000",1,6,
"989ebf98f43b4297beef92b24367e4c8","4151060612","30-99-66-58",2,2,,,2,,,,,,,,,,
"9693819c6c25424e8079d7bd5a399e59","4272020202","92-06-84-13",2,2,,,2,,,,,,,,,,
"9a2a6af2f9924430b9a0cc47327b661f","1021030312","09-71-54-71",2,2,,,1,1,,"200","1",2,,"24000",1,6,
"97ae00424b064a76ab02f3474665cca3","2043010102","93-57-84-53",2,2,,,1,2,,,,,,"5000",1,,
"9c9917e6e1554969a1d66ac128e8d541","1171040404","22-11-58-99",2,2,,,2,,,,,,,,,,
"9cb352e8b3464891a8e56c9682e6e772","2231262615","06-94-60-69",2,2,,,2,,,,,,,,,,
"a2b201c029f84e18ae079b30d287184d","4114030308","41-07-98-38",2,2,,,2,,,,,,,,,,
"a28038d2ed0047b28fc0ac652e00429b","4102010107","20-49-68-89",1,2,,,2,,,,,,,,,,
"a0b8bff5458e45b08b17f5b96f939cfb","4081020204","55-27-58-19",4,2,,,2,,,,,,,,,,
"9da07074406c46e68f1ad5e7813e373b","3021010115","12-56-84-63",1,2,,,1,2,,,,,,"1000",1,,
"97eeb4f2eae84dfc85e15d277e751cfb","3171010102","00-36-74-14",1,1,2,,1,2,,,,,,"2000",1,2,
"9eec20fc44d14b1485a5b54407494313","1061060602","30-88-55-94",,,,,,,,,,,,,,,
"a33b5f5221a14a80bfed99a205524fe7","3201080801","48-26-89-12",2,2,,,2,,,,,,,,,,
"a3e421e5c8924b2ebd4c84e7ab0538a4","3221111112","98-67-40-59",3,2,,,1,2,,,,,,"1000",1,,
"a3968f62607b402a85a551fab137e191","4281060619","07-23-18-10",2,2,,,2,,,,,,,,,,
"a633fb014edd4a55953902a674518e63","1021010102","82-74-17-32",1,2,,,1,1,,"100","1",2,,"9000",1,7,
"a3e0e5b0bb6045dbb836bcae2ae555c5","4121030305","26-48-88-55",1,2,,,2,,,,,,,,,4,
"a835522691ae4b52a5e2902750d571d5","3042040405","85-90-80-90",2,2,,,1,1,,"200","1",2,,"20000",2,,
"ab0749b99f874a8a9ad0e218c7070e41","4231101006","23-06-00-01",2,2,,,2,,,,,,,,,,
"a63fa436b8c141679c0885b968ae1d73","2123050504","83-94-15-57",2,2,,,2,,,,,,,,,4,
"a8fe82d0ebbd444d98af07dc137b4e07","2121050507","82-09-93-64",1,2,,,1,2,,,,,,"500",1,3,
"a9b4f7035d6e4a3b9f8176902c619b5b","1112020203","80-49-13-36",,,,,,,,,,,,,,,
"ab0e78b5778048bf9a70403cd622a4ff","3034040404","77-78-65-13",2,2,,,1,2,,,,,,"2000",2,,
"ab459ff868574eccbf2972ff990e7bf9","3201020206","22-22-00-56",3,2,,,1,1,,"1000","1",2,,"20000",2,,
"b0f9243778a344a8a72fc524a6863f9a","1021030306","80-63-59-73",2,2,,,1,1,,"300","1",2,,"30000",1,,
"ae56e2c944ce4a368290a335d0d2a43b","3032020206","24-59-00-53",2,2,,,2,,,,,,,,,,
"af8d7a4a02504bb7821e271ac62d45fd","1081060609","24-46-40-79",1,2,,,1,1,,"100","1",2,,"15000",1,1,
"ae7bb6fd7ff54143ae6ee473fdcc7afc","1121020202","76-04-95-30",2,2,,,2,,,,,,,,,1,
"b1884aea03a844029e86334683703b09","2081020202","47-97-04-43",2,1,2,,1,2,,,,,,"2000",1,96,"Laziness"
"afa09473cbcc44dfbe78de562eaa298f","3062010101","25-20-92-54",1,2,,,1,1,,"200","1",2,,"28000",1,2,
"b1abb00b1ee043ffa3c18766a7d63142",,"53-55-20-69",2,2,,,1,2,,,,,,"2000",1,1,
"aed4071826f04462a59bfabca5d2ca06","1074020202","35-51-00-88",1,2,,,1,1,,"200","1",2,,"24000",1,,
"b01c536bdb1a45b898dab000df0f3267","1133010104","13-55-77-20",2,2,,,1,1,,"200","1",2,,"18000",2,,
"ab713365c71c4bb89d206b8093278f1c","3035030311","72-50-87-06",2,2,,,1,2,,,,,,"1000",2,,
"ac28a7c8f3e745efb2801d1e3304e9a3",,"13-11-99-45",1,2,,,1,1,,"10000","20",2,,"10000",1,1,
"aca7e45fe9774f0781f5651e408038e6","3181030304","74-93-61-60",1,2,,,1,2,,,,,,"500",1,2,
"b20b2988cc4140df81890d31bb284697","1083010101","80-00-26-34",2,2,,,1,2,,,,,,"1000",1,1,
"b32dc85cbfb145db9b0787c8bdf3b7d0","3071080802","89-20-72-11",1,1,2,,1,2,,,,,,"15000",1,4,
"b8dcc618f4c342b3aee3d0ff6ce21e8f",,"71-01-18-75",2,2,,,1,1,,"250","1",2,,"30000",2,,
"b21b3ee4c5394287abdaa88134b11078","11520.0.01","72-13-08-02",2,2,,,1,1,,"200","1",2,,"15000",2,,
"b389c239719a4796854b290e12631dbb","3181070701","81-20-77-29",1,2,,,1,2,,,,,,"1000",1,2,
"b92650e55fb14845840d3f164fba1491","2301090905","54-78-39-35",2,2,,,1,2,,,,,,"1000",1,1,
"b6c40689d08f41cfbcd481e1deb14577","1111020205","81-61-50-13",2,2,,,2,,,,,,,,,4,
"b959c6a261f04e80967f5261a5095c64","1151040404","37-30-82-94",2,2,,,2,,,,,,,,,1,
"b289994ae63440efbf4bd086457f67c8","1073050502","36-87-56-87",2,2,,,2,,,,,,,,,4,
"baa361cd94c74ceb900b4fe3cabbdbba","2191030302","42-83-16-09",1,2,,,2,,,,,,,,,96,"Negligence"
"bc01a17fd5d245e2a35d78b99bb04187","4182090902","59-24-40-04",1,2,,,2,,,,,,,,,,
"bc2bf51e178c42e1bc7de3ade20338d5","1061010102","37-77-55-14",2,1,96,"There is a committee",2,,,,,,,,,,
"bfaec23e25e948f2b4be3e00fb79e2ba","1021030309","90-46-30-94",2,2,,,1,1,,"200","1",2,,"30000",1,,
"be03e0b731204737a2e4f7e0d2030d21","4052111110","28-28-90-63",1,2,,,2,,,,,,,,,,
"c1185221c2d343bb88b3ec950686798c","3022040405","05-72-66-37",2,2,,,2,,,,,,,,,4,
"c05e5755364f4c9eb48addd0418e8f5d","4112030302","88-67-72-87",1,2,,,2,,,,,,,,,,
"c1befc6653a84ef68640bc9923760c39",,"09-41-83-25",,,,,,,,,,,,,,,
"c1b998e93a934a8cb45545fc66b93d36","2321010106","96-93-21-70",3,2,,,1,2,,,,,,"1000",1,4,
"c417d5092fa04356addbe1ab9f6c471d","3251070703","96-05-76-94",4,2,,,2,,,,,,,,,1,
"c0cdc564be864ac698cba75135459a5e","1121020202","21-18-44-50",2,2,,,2,,,,,,,,,1,
"c1dbf4334e904dc1b6b93391efe6de15","1161020201","08-27-94-74",2,2,,,2,,,,,,,,,1,
"bea4b4b78acc42a6a591220eff1ca34e","3022010108","14-85-95-70",2,1,2,,1,2,,,,,,"1000",1,4,
"bedf52b414be4498a687aa04f00db6bf","1021020205","91-10-01-18",2,2,,,1,1,,"300","20",1,,"30000",2,,
"c441996b11764b4a9b89ffa9e072e594","3251030301","33-46-89-47",1,2,,,1,2,,,,,,"500",1,,
"c5a736b38a4843b68ddf780785c9403e","3221080806","86-65-40-94",2,2,,,1,2,,,,,,"2000",1,4,
"c63d7a3af8c74ccca231ecfa5dffb50b","4151151507","40-59-35-84",2,2,,,2,,,,,,,,,,
"cb6f1ca5c1d84fe4be8e6d65f1ecb6ee","2012030303","41-29-42-22",2,2,,,2,,,,,,,,,2,
"cc21c380258748b09434448dd3cd19d6","4031050502","20-19-89-31",2,1,3,,2,,,,,,,,,2,
"cd53be65dbb54ae58e54c8e2e8876a98","3103060609","66-28-67-92",2,2,,,1,2,,,,,,"1000",2,,
"cda502a2bc2f4dcb81105822378261d2","2291040410","93-24-80-62",2,2,,,2,,,,,,,,,1,
"cc5224ac26434558b1870292cd790c14","4171030307","16-74-30-99",1,2,,,2,,,,,,,,,,
"cdda605e7bf84e2998e7dc1b3f9fc012","4221020201","18-69-48-95",2,2,,,2,,,,,,,,,,
"cc67d6bf9be34858953f0195bb61efdc","3035040405","53-89-11-68",2,2,,,2,,,,,,,,,,
"ce09e57177af41adadea55b1118f29be","2231080806","41-30-97-75",1,2,,,2,,,,,,,,,7,
"cecbc69db6044c88b541853782f11ff2","3034020208","59-65-12-85",1,2,,,2,,,,,,,,,2,
"cff36b0b20f648be8341cd074068c657","1131131302","80-81-10-28",2,2,,,1,1,,"200","1",2,,"26000",2,5,
"d0cdf3d489a641c0a3e23bb1fb1adcfc","2281020204","65-23-15-88",2,2,,,2,,,,,,,,,,
"d132b4d495064853b88b9de098d24ae1","2122020201","31-65-28-65",2,2,,,1,1,,"200","1",2,,"30000",2,,
"d27f68aecc4d4350baef7ba84d39d9f0","1131050531","59-18-11-47",1,2,,,2,,,,,,,,,,
"d2ad4ad31dbd4666bec8eaec059c3d08","3091020202","59-37-58-86",2,2,,,1,1,,"50","1",2,,"30000",2,,
"d2d172cc1ef541e48cba1c6ed47f1841","3101020203","52-68-30-65",1,2,,,1,2,,,,,,"1000",1,96,"Laziness"
"d3f59ad872434ad1b2bec94ed6e6e947","4063030306","68-46-02-26",2,2,,,2,,,,,,,,,5,
"d451154d23f041d0915801f7838e703d","1021020204","66-91-74-76",2,2,,,1,1,,"3305","1",6,"cubic meters","38000",1,,
"d4eb3a77cedc42abb1e1bb99a214a7e8","3121050502","13-38-51-04",3,2,,,1,2,,,,,,"2000",1,5,
"d72ffb6509f04269a54566ef5106a498","4172010109","16-89-92-55",2,2,,,2,,,,,,,,,,
"d59bcc343d9e47379e45203869d1f64f","2151090908","77-50-49-21",2,2,,,2,,,,,,,,,1,
"d50819d660b042d7b279465864368a55","4062121202","49-85-88-60",2,2,,,2,,,,,,,,,,
"d5dab880982d42b9899469131ffc2054","4091010101","35-31-24-31",2,2,,,2,,,,,,,,,,
"d852fc9843fe45ffb9544b916d5f2cfc","3041020201","24-03-14-28",1,1,2,,1,2,,,,,,"1000",1,4,
"da0d63139da84fa088cb8a3f8893374e","4101010107","46-97-38-14",2,2,,,2,,,,,,,,,,
"d8c64e61dafa401b94c8afc0cfb15fef","1103050506","09-82-39-37",2,2,,,2,,,,,,,,,4,
"dc3741ca4a3c451291a3c0370adfd965","4171070704","14-56-46-86",2,2,,,2,,,,,,,,,,
"d91d6fec7fec4232a968ff6c765ab1eb","3112020202","54-82-15-45",3,2,,,1,2,,,,,,"1000",1,4,
"daafca5294924c609725305aa9da92d2","3022050502","81-72-86-31",1,2,,,1,2,,,,,,"1000",1,6,
"d93b73d98836425fafd96b0bc9407548","4221070708","92-40-07-74",2,2,,,2,,,,,,,,,,
"d961227555964a0bb362122c6b66dca2","1153030307","88-32-58-62",,,,,,,,,,,,,,,
"dacd91af18154d51894a52d02a3cb2b1","1041040408","39-31-02-27",2,2,,,2,,,,,,,,,1,
"d935539999f64771a119eb32574c160e","2092010105","46-49-96-63",2,2,,,1,1,,"100","1",2,,"15000",1,,
"dd72172834734d53967b7f13d9946d3e","4141161601","30-44-92-98",2,2,,,2,,,,,,,,,,
"de0d420b95f949409ddd6e6ef359572f","3102020201","92-54-66-94",2,2,,,2,,,,,,,,,,
"df9e133eb2f54a81911f454050262cc9","2041010102","15-27-59-11",,,,,,,,,,,,,,,
"dfd66efc10c04db4bc7a7710205fba47",,"41-87-65-27",2,2,,,1,1,,"200","1",2,,"40000",2,,
"e0d553e3abb24993844f0de7e20c86db","2181030313","51-59-01-53",1,2,,,2,,,,,,,,,,
"e83ef3501b9148fc8d8660761d61f6b1","1172020202","16-34-77-09",2,2,,,1,1,,"200","1",2,,"28000",2,,
"e359063a9c1842feace88741f2b4863c","1041020205","08-49-55-81",2,2,,,2,,,,,,,,,,
"e57503779f904b9a89276f70cdc6d98b",,"24-81-35-44",2,2,,,2,,,,,,,,,,
"e7fa94896c414ae5a4e11d7b299951b1","1241080811","04-12-51-46",2,2,,,2,,,,,,,,,1,
"e8807528500d494886e1493f22b6d612","1021050505","35-16-36-79",2,2,,,1,1,,"300","1",2,,"27000",2,7,
"ea112b0ba08542bfb07f10c636ff82a0","4281060619","88-64-25-80",2,2,,,2,,,,,,,,,,
"e1d242437c104649bf3a034bad2925c9","2102050501","92-04-38-87",2,2,,,2,,,,,,,,,4,
"e2087f2693664d9097024fd484730d71","2012060605","66-82-27-82",,,,,,,,,,,,,,,
"e314846cc6e745f2b46ca45107218154","3032040402","48-37-16-81",1,2,,,1,1,,"3350","1",6,"cubic meters","45000",2,,
"eb9b8edf03314bb39c1982b462c88cd3","1221020204","46-50-03-97",2,2,,,2,,,,,,,,,,
"ef140c8eb6aa466fa41b317628e0cbf8","3022010108","34-89-24-08",2,1,2,,1,2,,,,,,"1000",1,4,
"ec3f5f7d84244a55ab42dff82b6846d9",,"49-96-25-37",2,2,,,2,,,,,,,,,,
"eba103dd973241ecb07baee474e8f9d9","1041050503","34-64-32-00",2,2,,,2,,,,,,,,,1,
"ef37261b68c446679bec7e072b4d916e","3191070702","51-89-46-48",2,2,,,2,,,,,,,,,4,
"ec558b4ca32e46a7943986f7ad4a9588","1171060602","96-60-14-26",2,2,,,2,,,,,,,,,1,
"ec1c482374644eb983a647909e350403","4113040403","96-79-66-75",2,2,,,2,,,,,,,,,,
"f03953e0053e44408d6efa237ee3063f","1103060602","15-63-97-83",2,2,,,1,1,,"100","1",2,,"6000",1,,
"f107a301616c4ff69b6fa7bfa877faab","4093010104","04-82-98-03",,,,,,,,,,,,,,,
"ee1ae37bb5574ebb8cfcaa312e7e1f0b","3062040403","51-48-45-42",2,2,,,1,2,,,,,,"1000",1,2,
"f14f6099b4984c1d8b984fb22f251032","3231080804","27-44-94-20",3,1,2,,1,2,,,,,,"1000",1,4,
"f1dca8894a0b46eab802b52b2ecc70c0","1122030304","65-42-84-81",2,2,,,2,,,,,,,,,1,
"f568ccaeb7434baf8b85c82b6999a9e1","2141010103","33-49-10-28",,,,,,,,,,,,,,,
"f33d7de27c14495a89301cb34c6e6dfb","1153030307","63-52-54-38",2,2,,,2,,,,,,,,,,
"f4836ae1155c495c9363570573d1f81a","1031050505","38-55-59-69",2,2,,,2,,,,,,,,,,
"f5e7dce2332d41b28c3cd37fceac50cf","1061010106","05-41-62-25",2,2,,,2,,,,,,,,,,
"f81dc4ec9efb45e0ac04ce96bd3fac02","2231212104","08-27-83-30",3,2,,,2,,,,,,,,,3,
"f4c5c89950bb4141ab4d895c0b25bb20","4111030305","48-32-44-07",2,2,,,2,,,,,,,,,,
"f709ca33e5624c40bbebb5bbff93d32f","3191050503","92-58-44-91",2,2,,,1,2,,,,,,"1000",2,,
"f94bd031b7014493ba1c0295e5614dca","2141141405","38-34-59-31",,,,,,,,,,,,,,,
"f875111d04594103a21af312cda6e741","4262020201","36-13-76-78",1,2,,,2,,,,,,,,,,
"fb5c0b7c4fa64ce8b41a2d746086f7a1","1021020203","60-32-27-19",2,2,,,1,1,,"200","20",1,,"28000",2,,
"f980545af05e454a9a37280d7272716d",,"88-18-91-21",2,2,,,2,,,,,,,,,7,
"f941ce88ba9a48e99842d995455d47bd","3251010105","66-72-06-13",2,2,,,2,,,,,,,,,,
"fd09bf6c0d16410f9135f36ef5e6993b","1241070706","87-17-71-30",3,2,,,2,,,,,,,,,1,
"f9db50b4f83b436ab20692f8d1d0e345","4113020204","42-81-20-45",2,2,,,2,,,,,,,,,,
"fd39653b0c2d49a2b86bf992b96cf4d0",,"86-59-69-87",2,2,,,2,,,,,,,,,1,
"fe70d97f97424e029d2757d98e8d9723","1221050503","64-34-31-60",,,,,,,,,,,,,,,
"fecc0f5ccad940ceb621e46eb9f59f77","21110606","83-86-63-56",2,2,,,1,2,,,,,,"1000",1,1,
"fffa2187e3d447b085ed6aedd03b38da","4061080801","17-59-88-03",2,2,,,2,,,,,,,,,,
